,test,trial,flow_size,ruleset,cpu_bw,suricata_bytes,suricata_packets,suricata_dropped,suricata_drops,eve_kernel_drops,eve_kernel_packets,eve_avg_pkt_size,eve_bytes,cpu_percent_mean,mem_percent_mean
0,0,0,small,big,0.1,,,,,,,,,15.325427546453852,17.679519653320312
1,1,0,small,big,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.286928505589518,29.362335205078125
2,2,0,small,big,0.1,,,,,,,,,14.97278271492838,17.727813720703125
3,3,0,small,big,0.1,1768490.0,3134.0,297363.0,0.9941045009385662,4209419.0,4264591.0,550.0,30207575.0,14.947305812295252,40.75248718261719
4,4,0,small,big,0.1,,,,,,,,,15.582208875909505,19.377670288085938
5,5,0,small,big,0.1,1154620.0,2081.0,285462.0,0.991969364742349,1837015.0,1860488.0,534.0,12328327.0,14.885119049109363,35.137062072753906
6,6,0,small,big,0.1,,,,,,,,,14.836435373804253,21.238784790039062
7,7,0,small,big,0.1,1664697.0,3208.0,191130.0,0.9843486859385381,4190028.0,4242572.0,539.0,27967332.0,14.29594072828321,40.55580139160156
8,8,0,small,big,0.1,,,,,,,,,14.71848825388599,17.50835418701172
9,9,0,small,big,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.411852054456755,27.45452880859375
10,0,0,big,big,0.1,,,,,,,,,15.56655224097525,21.99951171875
11,1,0,big,big,0.1,,,,,,,,,14.253821485208329,17.594566345214844
12,2,0,big,big,0.1,,,,,,,,,15.6959221706641,17.68817901611328
13,3,0,big,big,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.552239850328647,26.786880493164062
14,4,0,big,big,0.1,2117760.0,4994.0,498489.0,0.9793285410334943,2659345.0,2697292.0,374.0,14416057.0,15.783352150403548,35.73436737060547
15,5,0,big,big,0.1,,,,,,,,,14.57313016698717,16.862220764160156
16,6,0,big,big,0.1,,,,,,,,,15.04173877372221,15.846519470214844
17,7,0,big,big,0.1,,,,,,,,,15.101273018029744,18.56945037841797
18,8,0,big,big,0.1,300387.0,796.0,83995.0,0.989270487362495,83995.0,84906.0,377.0,300387.0,14.480099754134098,30.56499481201172
19,9,0,big,big,0.1,,,,,,,,,14.811805668540348,17.92644500732422
20,0,0,small,small,0.1,17407104.5,36200.0,936079.5,0.9593258848414787,9528427.0,9899331.0,552.0,204902119.0,15.406014339191978,24.885520935058594
21,1,0,small,small,0.1,18503609.0,33280.0,911423.5,0.9675475467718195,9352914.0,9702603.0,547.0,191863214.0,15.268399384695172,24.64466094970703
22,2,0,small,small,0.1,22008061.0,38880.0,943823.0,0.9583516104138743,9596989.0,9978862.0,554.0,212886106.0,14.271157031331777,24.636573791503906
23,3,0,small,small,0.1,14683943.5,26840.0,691828.0,0.9582118534790215,9440330.0,9803206.0,550.0,200264431.0,15.58647786764061,24.844512939453125
24,4,0,small,small,0.1,18012281.0,34413.0,885015.0,0.9612717246443083,9405831.0,9771660.0,553.0,203392046.0,14.304429468649875,24.823684692382812
25,5,0,small,small,0.1,20951107.0,38000.0,921001.0,0.9596664407302418,9298683.0,9674323.0,547.0,206600190.0,14.343205738235886,24.605369567871094
26,6,0,small,small,0.1,18499757.0,33480.0,909009.0,0.96327101981733,9394760.0,9737539.0,548.0,188683786.0,15.71589510814805,24.807281494140625
27,7,0,small,small,0.1,16419176.5,29610.0,927651.5,0.9634709409055148,9568015.0,9917795.0,555.0,194442554.0,14.299773975100953,24.898147583007812
28,8,0,small,small,0.1,20017266.0,37120.0,915924.5,0.9599678237538255,9328081.0,9702118.0,546.0,204424928.0,15.718414415875264,24.6624755859375
